name,Цель,Тип,Страна производитель,Количество в упаковке,Количество порций,"Срок годности, мес.",price,Вид белка,Форма выпуска,Диетические особенности,Подходит для,Белок: грамм в 1 порции,"Вес нетто, г",Штрихкод,Ингредиенты,Витамины,Форма креатина,Минералы,Материал,Вид омега-3
"Протеин Fuze Protein Matrix with Creatine + vitamin C, 750 г",Восстановление,Протеины,Россия,750,15.0,24.0,780,Многокомпонентный,порошок,с витаминами,мужчин и женщин,23.0,,4627083881690,"протеиновая база (концентрат сывороточного белка – 37,6%, концентрат молочных белков – 18,9%, сухой яичный белок – 18,9%, изолят соевого белка – 19,1%, пшеничный белок – 5,5%), мальтодекстрин, соевый лецитин (эмульгатор), фруктоза, декстроза, ароматизаторы, аспасвит (подсластитель; не содержит финилаланин), ксантановая камедь (эмульгатор), витамин С.",C (аскорбиновая кислота),,,,
Протеин Mote Matrix Protein Shake + Collagen 617 г,"Сбросить вес, Продлить молодость",Протеины,Россия,615,16.0,24.0,1560,Многокомпонентный,порошок,"без консервантов, без красителей, без сахара","мужчин и женщин, пожилых",20.0,617.0,4600778013002,"гидролизат коллагена, сывороточного белка концентрат, яичный протеин, декстроза, мицеллярный казеин, сывороточного белка изолят, натуральный подсластитель сукралоза, ароматизатор",,,,,
Протеин RLine Power Whey 1700 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Россия,1700,40.0,24.0,3570,Сывороточный концентрат,порошок,"без консервантов, без красителей",мужчин и женщин,31.0,,4600778004765,"концентрат белка сывороточного белка, алкализованный какао-порошок (для шоколадного вкуса), ароматизатор, идентичный натуральному, загуститель (ксантановая камедь), подсластитель (сукралоза).",,,,,
Протеин Trec Nutrition Whey 100 30 г 1 штука,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Польша,1,1.0,24.0,140,Сывороточный концентрат,пакетики,"без ГМО, без аспартама, без глютена, без консервантов, без крахмала, без мальтодекстрина, без пальмового масла, без сои, без соли",мужчин и женщин,21.0,30.0,2000324752508,"Концентрат сывороточного протеина, какао-порошок для вкуса шоколад,шоколад-вишня,шоколад-кунжут,кокос-шоколад,шоколад-ореховый крем,шоколад-апельсин и пряничный;регулятор кислотности для вкуса клубника и малина-лимонная и яблочная кислота;ароматизированный загуститель-натриевая соль карбоксиметилцеллюлозы;подсластитель-сукралоза;бета-керотин-краситель ваниль,банан,печенье,пина колада;кошениль красный А-краситель для вкуса клубника и малина;краситель для арахисовое масло-аммиак карамели",,,,,
Протеин QNT SKINNY Protein 450 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Бельгия,450,22.0,730.0,1505,Сывороточный концентрат,порошок,"без ГМО, без аспартама, без консервантов, без крахмала, без мальтодекстрина, без пальмового масла, без сои",мужчин и женщин,14.0,500.0,5404017402409,"Milk proteins (contains milk, emulsier soy lecithin): whey protein concentrate &amp; whey protein isolate, cocoa powder (Theobroma cacao) 6% (emulsier soy lecithin), collagen, L-carnitine L-tartrate, Flavour, thickeners:E466/E414, sweetener: E955, Vitamin B5 (Ca-D-Pantothenate), Vitamin B12 (Methylcobalamin), Vitamin B6 (Pyridoxine HCL), Vitamin B2 (Riboflavin).","B12 (цианокобаламин), B2 (рибофлавин), B5 (пантотеновая кислота), B6 (пиридоксин)",,,,
Гейнер Trec Nutrition Mass XXL 3000 г,Нарастить массу,Гейнеры,Польша,3000,43.0,24.0,5240,Сывороточный концентрат,порошок,"без ГМО, без аспартама, без консервантов, без крахмала, без пальмового масла, без сои, с витаминами",мужчин и женщин,13.0,3085.0,2000324818600,"Мальтодекстрины, Концентрат сывороточного белка, Декстроза, Вит. С (Л-аскорбиновая кислота),  Вит.Е (Ацетат ДЛ-альфа-токоферол),  Ниацин (никотиномид), Пантотеновая кислота (Кальция Д - пантотенат), Вит. В6 (пиридоксина гидрохлорид), Вит. В2 (рибофлавин, Вит. В1 (Тиамина моногидрат), Фолиевая кислота, Биотин (Д-биотин), Вит. В12 (Цианокобаламин), дополнительные ингредиенты какао - усиливающее вкус и запах для шоколадного вкуса, модифицированный крахмал - загуститель, лимонная кислота - регулятор кислотности для клубничного вкуса, цикламат натрия - подсластитель, сахаринат натрия - подсластитель, бета каротин - краситель для бананового, ванильного, карамельно-ванильного и пина-колада вкусов, красная кошениль - краситель для клубничного вкуса.","A (ретинол), B1 (тиамин), B12 (цианокобаламин), B2 (рибофлавин), B5 (пантотеновая кислота), B6 (пиридоксин), B7 (биотин), B9 (фолиевая кислота), C (аскорбиновая кислота), E (токоферол)",,,,
Протеин Mutant Whey 4540 г,"Нарастить массу, Сбросить вес",Протеины,Канада,4540,126.0,24.0,9670,Сывороточный концентрат,порошок,с сахарозаменителем,мужчин и женщин,22.0,4540.0,627933027357,"концентрат сывороточного протеина, изолят сывороточного протеина, инулин, ксантановая камедь, пептиды глутамина, натуральные и искусственные ароматизаторы, цитрат калия, ацесульфам калия, сукралоза, соевый лецитин.",,,,,
Протеиновый коктейль BOMBBAR Whey Protein shakes & drinks 900 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Россия,900,30.0,24.0,1990,Сывороточный концентрат,порошок,"без ГМО, без аспартама, без глютена, без красителей, без крахмала, без мальтодекстрина, без пальмового масла, без сои",мужчин и женщин,20.0,930.0,4620020960762,"концентрат сывороточного белка, эмульгатор - лецитин, изомальтоолигосахарид, ароматизаторы- натуральные, загустители (ксантовая камедь, гуаровая камедь), соль, аскорбиновая кислота (витамин С), подсластитель (ацесульфам к,сукралоза)",C (аскорбиновая кислота),,,,
Протеин Ultimate Nutrition ProStar Whey 450 г,Нарастить массу,Протеины,США,450,15.0,24.0,1961,Многокомпонентный,порошок,без яиц,мужчин и женщин,25.0,550.0,099071001900,"Натрий, L-лейцин, L-изолейцин, L-валин, L-лизин, L-треонин, L-метионин, L-фенилаланин, L-триптофан, L-аргинин, L-аспарагиновая кислота, L-цистин/цистеин, L-аланин, L-глутаминовая кислота, L-глицин, L-гистидин, L-пролин, L-серин, L-тирозин, Микрофильтрованный и Ультрафильтрованный сывороточный протеин (изолят и концентрат сывороточного белка, пептиды), соевый лецитин, натуральные и искусственные ароматизаторы, сукралоза, ацесульфам калия.",,,,,
Гейнер Ultimate Nutrition Muscle Juice Revolution 2600 2120 г,"Нарастить массу, Улучшить выносливость, Восстановление",Гейнеры,США,2120,8.0,24.0,3090,Многокомпонентный,порошок,"без консервантов, без крахмала",мужчин и женщин,56.0,2330.0,099071002334,"L-Аргинин, L-Аспарагиновая кислота, L-Цистин, L-Аланин, L-Глютаминовая кислота, L-Глицин, L-Гистидин, L-Пролин, L-Серин, L-Тирозин, Концентрат сывороточного протеина, изолят сывороточного протеина, изолят молочного белка, гидролизованный сывороточный протеин, яичный протеин, мицеллярный казеин, концентрат молочного белка, кальция казеинат, Кукурузный мальтодекстрин, рисовый мальтодекстрин, Karbo-Lyn®, Масло канолы, MCT (триглицериды со средней цепью), Омега 3 Рыбий жир, CLA (конъюгированная линолевая кислота), L-Глютамин, L-Аланил-L-Глютамин, Протеаза, Лактаза, натуральные и искусственные ароматизаторы, сукралоза, ацесульфам калия, соевый лецитин.",,,,,
Протеин Red Star Labs WHEY PROTEIN  900 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Россия,900,30.0,24.0,2490,Сывороточный концентрат,порошок,"без консервантов, без сахара",мужчин и женщин,19.0,900.0,,"концентрат сывороточного белка, сыворотка деминерализованная, пищевой ароматизатор, сукралоза",,,,,
Протеин Reflexion Fit Protein 700 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Россия,700,23.0,24.0,1790,Сывороточный концентрат,порошок,"без ГМО, без красителей, без мальтодекстрина, с сахарозаменителем",мужчин и женщин,21.0,700.0,,"концентрат белка молочной сыворотки, кусочки фруктов и шоколада, сыворотка деминерализованная, пищевой ароматизатор, сукралоза.",,,,,
Гейнер Optimum Nutrition Pro Gainer 4450 г,"Нарастить массу, Восстановление",Гейнеры,США,4450,27.0,24.0,8030,Многокомпонентный,порошок,,мужчин и женщин,60.0,4715.0,748927029765,"Мальтодекстрин, протеиновая смесь (изолят сывороточного протеина, концентрат сывороточного протеина, казеинат кальция, яичный белок, гидролизованные сывороточные пептиды, глютаминовые пептиды), липидная смесь (триглицериды со средней цепью, подсолнечное масло, с высоким содержанием олеинового масла), частично гидролизованная гуаровая смола, натуральные и искусственные ароматизаторы, витаминно-минеральная смесь (мальтодекстрин, витамин А пальмитат, бета каротин, аскорбиновая кислота, ди-альфа токоферил ацетат, тиамин гидрохлорид, рибофлавин, ниацинамид, пиридоксин гидрохлорид, фолиевая кислота, цианокобаламин, биотин, ди-кальций пантотенат, кальций карбонат, трикальций фосфат, димагний фосфат, железа ортофосфат, калия йодид, цинка оксид, селенометионин, меди оксид, марганца сульфат, хрома полиникотинат, молибден аминокислота хелат, бор аминокислота хелат), лецитин, соль, карбоген,аминоген,сукралоза,диоксид титана,ацесульфам калия,лактаза.",,,,,
Гейнер Activlab Mass UP 5000 г,Нарастить массу,Гейнеры,Польша,5000,50.0,24.0,3993,Сывороточный концентрат,порошок,"без ГМО, без глютена, без консервантов, без крахмала, без пальмового масла",мужчин и женщин,10.0,5100.0,5907368876276,"мальтодекстрин, глюкоза, концентрат сывороточного белка, моногидрат креатина, таурин, глицин, ароматизатор, загуститель Е466, регулятор кислотности: лимонная кислота (клубника, йогурт-Зауэр вишня и аромат лесных фруктов), красители: Е124 (клубника, йогурт-Зауэр вишня и аромат лесных фруктов)-они могут отрицательно влиять на активность и концентрацию у детей, Е133 (аромат лесных фруктов), Е150с (шоколад и ореховый аромат), Е171 (ваниль, кокос и банан), Е950 подсластитель. Содержит производные молока, яиц, сои, пшеницы; может содержать следы орехов.",,креатин моногидрат,,,
Протеин Activlab Muscle UP Protein 700 г,"Нарастить массу, Восстановление",Протеины,Польша,700,14.0,24.0,1990,Сывороточный концентрат,порошок,,мужчин и женщин,35.0,740.0,5907368871578,"концентрат сывороточного протеина, мальтодекстрин, моногидрат креатина, таурин, глюкоза, ароматизатор, загуститель: карбоксиметилцеллюлоза,  подсластители: ацесульфам К и сукралоза, аммиачная карамель",,,,,
Протеин Optimum Nutrition 100% Gold Standard Casein 1820 г,"Нарастить массу, Сбросить вес",Протеины,США,1820,56.0,730.0,6350,Казеин,порошок,"без аспартама, без консервантов, без крахмала, с сахарозаменителем",мужчин и женщин,24.0,2155.0,748927024180,"Мицеллярный казеин, какао, натуральные и искусственные ароматизаторы, инулин, соль, лецитин,для вкуса печенье-крем- крошки печенья [обогащенный краситель-пшеничная мука, ниацин, восстановленное железо,тиамин моногидрат, рибофлавин, яблочная кислота], сахар, смесь пальмового масла, высокофруктозный кукурузный сироп,кукурузная мука) декстроза,натрий бикарбокат, соевый лецитин; целлюлозная камедь, ксантановое гумми, каррагенин, сукралоза, Aminogen ,ацесульфам калия.",,,,пластик,
Протеин Optimum Nutrition 100% Gold Standard Casein 825-908 г,"Нарастить массу, Сбросить вес",Протеины,США,908,28.0,24.0,3330,Казеин,порошок,"без аспартама, без крахмала, с сахарозаменителем",мужчин и женщин,24.0,825.0,748927024173,"Мицеллярный казеин, какао, натуральные и искусственные ароматизаторы, инулин, соль, лецитин,сахар, смесь пальмового масла, высокофруктозный кукурузный сироп, кукурузная мука, декстроза, натрий бикарбонат, соевый лецитин, целлюлозная камедь, ксантановое гумми, каррагенин, сукралоза, Aminogen, ацесульфам калия.",,,,пластик,
Гейнер Trec Nutrition Solid Mass 5800 г,"Нарастить массу, Восстановление",Гейнеры,Польша,5800,58.0,24.0,6150,Сывороточный концентрат,порошок,"без ГМО, без аспартама, без консервантов, без красителей, без крахмала, без пальмового масла, без сои, с витаминами",мужчин и женщин,14.0,5800.0,5901828342806,"Мальтодекстрины, Концентрат Сывороточного Белка, Декстроза, Рисовый Крахмал, Вит. С (Л-Аскорбиновая Кислота),  Niacyna (Nikotynamid), Вит. Е, Пантотеновая Кислота (Д-Пантотенат Кальция), Вит. B6 (Пиридоксина Гидрохлорид), Вит. B2 (Рибофлавин), Вит. B1 (Тиамина Мононитрат), Фолиевая Кислота (Птероилмоноглютаминовая Кислота), Биотин (D-Биотин), Вит. B12","A (ретинол), B1 (тиамин), B12 (цианокобаламин), B2 (рибофлавин), B5 (пантотеновая кислота), B6 (пиридоксин), B7 (биотин), B9 (фолиевая кислота), C (аскорбиновая кислота)",,,,
Протеин BSN Syntha-6 1320 г,"Нарастить массу, Восстановление",Протеины,США,1320,28.0,24.0,3830,Многокомпонентный,порошок,без сахара,мужчин и женщин,22.0,1505.0,834266006359,"Натрий, Калий, Кальций, Железо, Фосфор, магний, протеиновая матрица(концентрат сывороточного белка, изолят сывороточного белка, казеинат кальция, мицеллярный казеин, изолят молочного белка, яичный альбумин, глутаминовые пептиды), крема для подсолнечника (подсолнечное масло, сухие вещества кукурузного сиропа, казеинат натрия, моно- и диглицерид-фосфат, D) , трикальцийфосфат, соевый лецитин, токоферолы), полидекстроза, какао (обработано щелочью), натуральный и искусственный ароматизатор, порошок МСТ (триглицериды со средней цепью, обезжиренное сухое молоко, динатрийфосфат, диоксид кремния), лецитин, соль, целлюлоза и целлюлоза калийная, сукралоза, папаин, бромелайн.",,,,,
Протеин Trec Nutrition Whey 100 900г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Польша,900,30.0,24.0,2990,Сывороточный концентрат,порошок,"без ГМО, без аспартама, без глютена, без консервантов, без крахмала, без мальтодекстрина, без пальмового масла, без соли",мужчин и женщин,21.0,900.0,5902114014155,"Концентрат сывороточного протеина, какао-порошок для вкуса шоколад,шоколад-вишня,шоколад-кунжут,кокос-шоколад,шоколад-ореховый крем,шоколад-апельсин и пряничный;регулятор кислотности для вкуса клубника и малина-лимонная и яблочная кислота;ароматизированный загуститель-натриевая соль карбоксиметилцеллюлозы;подсластитель-сукралоза;бета-керотин-краситель ваниль,банан,печенье,пина колада;кошениль красный А-краситель для вкуса клубника и малина;краситель для арахисовое масло-аммиак карамели",,,,,
Протеин Prime Kraft Whey 900 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Россия,900,30.0,18.0,2490,Сывороточный концентрат,порошок,"без консервантов, без сахара",мужчин и женщин,23.0,900.0,,"концентрат сывороточного белка, изолят сывороточного белка, ароматизаторы, краситель хлорофиллин, загустители: ксантановая камедь, гуаровая камедь; минеральная смесь, витаминная смесь, подсластитель сукралоза. Содержит молочные ингредиенты и соевый лецитин (эмульгатор).","A (ретинол), B1 (тиамин), B12 (цианокобаламин), B2 (рибофлавин), B3/PP (никотиновая кислота/ниацин), B5 (пантотеновая кислота), B6 (пиридоксин), B9 (фолиевая кислота), C (аскорбиновая кислота), D3 (холекальциферол), E (токоферол), биофлавоноиды",,"железо, йод, кальций, магний, марганец, медь, селен, цинк",,
Протеин Prime-Kraft Whey Isolate 840 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Россия,840,28.0,18.0,3150,Сывороточный изолят,порошок,"без консервантов, без лактозы, без сахара",мужчин и женщин,26.0,840.0,4627157354990,"изолят сывороточного белка, ароматизатор, эмульгатор лецитин соевый, подсластитель сукралоза.",,,,,
Протеин Syntrax Whey Shake 2270 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,США,2270,76.0,730.0,4510,Сывороточный концентрат,порошок,"без ГМО, без аспартама, без консервантов, без красителей, без крахмала, без мальтодекстрина, без пальмового масла, без сои, без соли",мужчин и женщин,23.0,2350.0,2000324810154,"Сывороточный белковый концентрат, натуральные и искусственные ароматизаторы, соль, соевый лецитин, ацесульфам-K, сукралоза.",,,"калий, кальций, магний, натрий, фосфор",,
Протеин Trophix 5.0 2270 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,США,2270,73.0,730.0,4270,Многокомпонентный,порошок,"без ГМО, без аспартама, без консервантов, без крахмала, без пальмового масла, без соли",мужчин и женщин,23.0,2370.0,893912124991,"протеиновая смесь (концентрат молочного протеина, концентрат сывороточного протеина), не-молочная протеиновая смесь (гидролизированный соевый протеин, яичный альбумин), какао (вкус-шоколад), натуральные и искусственные ароматизаторы, соль, соевый лецитин, ацесульфам калия, сукралоза, краситель FD&C Red #40 (вкус-клубника).",,,"кальций, магний, фосфор",,
Протеин Ultimate Nutrition ProStar Whey 900 г,"Нарастить массу, Сбросить вес, Улучшить выносливость, Восстановление",Протеины,США,900,30.0,24.0,2921,Многокомпонентный,порошок,,мужчин и женщин,25.0,1105.0,099071001474," L-лейцин, L-изолейцин, L-валин, L-лизин, L-треонин, L-метионин, L-фенилаланин, L-триптофан, L-аргинин, L-аспарагиновая кислота, L-цистин/цистеин, L-аланин, L-глутаминовая кислота, L-глицин, L-гистидин, L-пролин, L-серин, L-тирозин, Микрофильтрованный и Ультрафильтрованный сывороточный протеин (изолят и концентрат сывороточного белка, пептиды), соевый лецитин, натуральные и искусственные ароматизаторы, сукралоза, ацесульфам калия.",,,,,
Протеин Syntrax Nectar изолят 907 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,США,907,129.0,24.0,3880,Сывороточный изолят,порошок,"без консервантов, без красителей, без сахара",мужчин и женщин,23.0,1105.0,893912123505,"PROMINA - микрофильтрованная сыворотка протеинового изолята (включает Бета-Лактоглобулин, Альфа-Лактоглобулин,Гликомакропептиды, Бовиновая Сыворотка альбумина, Протеаза Пептон, Лактоферин, Лакто Пироксидазу), цитрусовая кислота.",,,,,
Гейнер Rule One Proteins R1 Gain 2272 г,"Нарастить массу, Восстановление",Гейнеры,США,2272,16.0,730.0,5050,Многокомпонентный,порошок,"без ГМО, без консервантов, без красителей, без сои, с витаминами",мужчин и женщин,50.0,2610.0,858925004326,"Углеводная смесь (мальтодекстрин, органические рисовые отруби, горох посевной), белковая смесь (изолят сывороточного протеина, концентрат сывороточного протеина, гидролизат сывороточного протеина), натуральные и искусственные ароматизаторы, сукралоза, ацесульфам калия, лецитин, экстракт листьев стевии.",D3 (холекальциферол),,"железо, калий, кальций",пластик,
Гейнер Rule One Proteins R1 LBS 5400 г,"Нарастить массу, Восстановление",Гейнеры,США,5400,20.0,730.0,5980,Многокомпонентный,порошок,"без ГМО, без аспартама, без консервантов, без крахмала, без пальмового масла, без сои",мужчин и женщин,14.0,5600.0,858925004852,"углеводная смесь (мальтодекстрин, натуральные рисовые отруби, гороховый крахмал), протеиновая смесь (концентрат сывороточного протеина, изолят сывороточного протеина, гидролизат сывороточного протеина), витамины/минеральная смесь (калия цитрат, цитрат фосфат, трикальцийфосфат , фосфат калия, хлорид натрия, аскорбиновая кислота, железа натрия, пантотеновая кислота, D-альфа токоферола ацетат, ниацинамид, Сульфат цинка, трикальцийфосфат, пиридоксин гидрохлорид, витамин А, оксид меди, тиамина гидрохлорида, рибофлавин, фолиевая кислота, витамин D3, биотин, йодид калия, цианокобаламин), натуральные и искусственные ароматизаторы, лецитин, креатин, гуаровая камедь, триглицериды со средней цепью, L-Глютамин, сукралоза, ацесульфам калия, стевия, Monk Fruit.","A (ретинол), B1 (тиамин), B12 (цианокобаламин), B2 (рибофлавин), B5 (пантотеновая кислота), B6 (пиридоксин), B7 (биотин), C (аскорбиновая кислота), D3 (холекальциферол), E (токоферол)",креатин моногидрат,"железо, йод, калий, кальций, магний, медь, натрий, фосфор, цинк",пластик,
Гейнер Rule One Proteins R1 Gain 4500 г,"Нарастить массу, Восстановление",Гейнеры,США,4500,32.0,24.0,8290,Сывороточный концентрат,порошок,"без консервантов, без красителей",мужчин и женщин,50.0,4640.0,858925004838,"мальтодекстрин, концентрированный молочный сывороточный белок, изолят молочного сывороточного белка, ароматизаторы, триглицериды средней цепи, L - глютамин, загуститель: (Е412), L - лейцин, L - изолейцин, L - валин, крахмал, отруби, антиокислитель: (Е322), подсластители: (Е950), (Е955).",,,,,
Протеин Power Pro Whey Protein 40 г 15 шт,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Россия,15,15.0,24.0,1680,Сывороточный концентрат,пакетики,"без консервантов, без сахара, с сахарозаменителем",мужчин и женщин,33.0,600.0,4670019900231,"белки сывороточные (концентрат, изолят, гидролизат), лецитин, ароматизатор пищевой, подсластители (Е954, Е952), урсоловая кислота, порошок льняного семени, селен, цинк, краситель искусственный (Е150).",,,,,
Гейнер Rule One Proteins R1 Gain 2270 г,"Нарастить массу, Восстановление",Гейнеры,США,2270,16.0,24.0,5050,Сывороточный концентрат,порошок,"без консервантов, без красителей",мужчин и женщин,50.0,2610.0,858925004340,"мальтодекстрин, концентрированный молочный сывороточный белок, изолят молочного сывороточного белка, ароматизаторы, триглицериды средней цепи, L - глютамин, загуститель: (Е412), L - лейцин, L - изолейцин, L - валин, крахмал, отруби, антиокислитель: (Е322), подсластители: (Е950), (Е955).",,,,,
Протеин RLine Whey 4000 г,"Нарастить массу, Сбросить вес",Протеины,Россия,4000,86.0,24.0,7680,Сывороточный концентрат,порошок,с витаминами,мужчин и женщин,30.0,4000.0,4600778000583,"концентрат сывороточного белка, фруктоза, алкализованный какао-порошок (во вкусах &amp;quot;шоколад&amp;quot;, &amp;quot;шоколад-орех&amp;quot; и &amp;quot;моккачино&amp;quot;), лецитин, ароматизаторы, идентичные натуральным, шоколадная крошка (во вкусе &amp;quot;шоколад&amp;quot;), сублимированные кусочки фруктов (во фруктовых вкусах), концентрат натурального сока (во фруктовых вкусах), загуститель (ксантановая камедь), йодированная соль, подсластитель (сукралоза), витаминный премикс.","A (ретинол), B1 (тиамин), B2 (рибофлавин), B3/PP (никотиновая кислота/ниацин), B5 (пантотеновая кислота), B6 (пиридоксин), B9 (фолиевая кислота), C (аскорбиновая кислота), E (токоферол)",,,,
Протеин RLine Whey 900 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Россия,900,19.0,24.0,1920,Сывороточный концентрат,порошок,"без консервантов, без красителей",мужчин и женщин,30.0,,4600778000569,"концентрат сывороточного белка, фруктоза, алкализованный какао-порошок (во вкусах &amp;quot;шоколад&amp;quot;, &amp;quot;шоколад-орех&amp;quot; и &amp;quot;моккачино&amp;quot;), лецитин, ароматизаторы, идентичные натуральным, шоколадная крошка (во вкусе &amp;quot;шоколад&amp;quot;), сублимированные кусочки фруктов (во фруктовых вкусах), концентрат натурального сока (во фруктовых вкусах), загуститель (ксантановая камедь), йодированная соль, подсластитель (сукралоза), витаминный премикс.",,,,,
Протеин Beowulf Whey Pro 1800 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Россия,1800,60.0,24.0,4290,Сывороточный концентрат,порошок,"без сахара, с витаминами","мужчин и женщин, пожилых",22.0,1800.0,4609879350108,"концентрат сывороточного белка, эксклюзивные натуральные ароматизаторы, стевия,витаминная смесь.",,,,,
Изолят протеина QNT Metapure Zero Carb 2000 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Бельгия,2000,66.0,730.0,7660,Сывороточный изолят,порошок,"без ГМО, без аспартама, без глютена, без консервантов, без красителей, без крахмала, без мальтодекстрина, без пальмового масла, без сои, без соли",мужчин и женщин,27.0,2285.0,5425002405885,"изолят сывороточного протеина,ароматизатор,подсластитель сукралоза Е955",,,,пластик,
Гейнер Mutant Mass 6800 г,"Нарастить массу, Восстановление",Гейнеры,Канада,6800,24.0,24.0,5680,Многокомпонентный,порошок,"без консервантов, без красителей",мужчин и женщин,56.0,6905.0,627933026558,"смесь углеводов (крахмал восковой кукурузы, мальтодекстрин, ячменный крахмал, сладкий картофель, овсяные хлопья), протеиновая смесь Mutant Mass Pro-Matrix (из молока) (концентрат сывороточного протеина, гидролизованный сывороточный протеин, изолят сывороточного протеина, мицеллярный казеин, концентрат молочного протеина, изолят молочного протеина), смесь пищевых жиров (фракционное кокосовое (MCT) масло, авокадо, льняное семя, семена тыквы, подсолнечное масло), загустители (обезжиренные соевые бобы, горох, гуаровая камедь), натуральные и искусственные ароматизаторы, эмульгатор (подсолнечный лецитин), усилитель вкуса (цитрат калия), подсластитель (сукралоза), пищеварительные ферменты (лакатаза, протеаза), экстракт корицы (Cinnulin PF), кислая вишня. Возможно содержание пшеницы, яиц, арахиса и орехов",,,"калий, натрий",,
Протеин Optimum Nutrition 100% Whey Gold Standard 2270 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,США,2270,71.0,730.0,5851,Многокомпонентный,порошок,,мужчин и женщин,24.0,2570.0,748927028683,"Протеиновая смесь (изолят сывороточного протеина, концентрат сывороточного протеина, сывороточные пептиды), натуральные и искусственные ароматизаторы, лецитин, соль, сукралоза, ацесульфам калия, лактаза, для вкуса шоколад-ментол - какао, для вкуса молочный шоколад - заменитель сливок (подсолнечное масло, мальтодекстрин, модифицированный пищевой крахмал, дикалийфосфат, трикальций фосфат, токоферол), соль, для вкуса клубника - краситель FD&C красный #40",,,,,
Гейнер Dymatize Super Mass Gainer 2700 г,"Нарастить массу, Восстановление",Гейнеры,США,2700,8.0,36.0,4590,Многокомпонентный,порошок,с витаминами,мужчин и женщин,83.0,2700.0,705016331321,"мальтодекстрин, протеиновая смесь (изолят молочного протеина,изолят сывороточного протеина, гидролизат сывороточного протеина, мицелярный казеин),подсолнечные сливки(подсолнечное масло,мальтодекстрин,мицелярный казеин,соевый лецитин,цитрат натрия,трикальциум фосфат), какао-порошок, натуральный и искусственный краситель, фруктоза,витамино-минеральный комплекс(трикальциум фосфат,аскорбат натрия,d-альфа токоферил ацетат,ницинамид,ретинол палмитат,кальциум-d-пантотенат,иодид калия,фолиевая кислота,мальтодекстрин,пиридоксин гидрохлорид,тиамин гидрохлорид, рибофлафин,цианокобаламин, смесь камеди (целлюлозная камедь,ксантовая камедь,карагинин), хлорид натрия, соль, соевый лецитин, ацесульфам калия, сукралоза, подсолнечный лецитин","A (ретинол), B1 (тиамин), B12 (цианокобаламин), B2 (рибофлавин), B5 (пантотеновая кислота), B6 (пиридоксин), B7 (биотин), B9 (фолиевая кислота), C (аскорбиновая кислота), D3 (холекальциферол), E (токоферол)",креатин моногидрат,"железо, йод, калий, кальций, магний, натрий, фосфор",,
Гейнер Optimum Nutrition Serious Mass 5455 г,"Нарастить массу, Восстановление",Гейнеры,США,5455,16.0,24.0,6290,Многокомпонентный,порошок,"без ГМО, без аспартама, без консервантов, без красителей, без крахмала, без пальмового масла, без сои",мужчин и женщин,14.0,5650.0,748927055641,"мальтодекстрин, протеиновая смесь (концентрат сывороточного протеина, казеинат кальция, яичный белок, сладкая молочная сыворотка), натуральные и искусственные ароматизаторы, витаминная и минеральная смесь, триглицериды со средней цепью, лецитин, ацесульфам калия,соль,сукралоза","A (ретинол), B1 (тиамин), B12 (цианокобаламин), B2 (рибофлавин), B5 (пантотеновая кислота), B6 (пиридоксин), B7 (биотин), B9 (фолиевая кислота), C (аскорбиновая кислота), D3 (холекальциферол), E (токоферол)",креатин моногидрат,"железо, йод, калий, кальций, магний, марганец, медь, молибден, натрий, селен, фосфор, хром, цинк",,
Гейнер QNT Muscle Mass 3000 1300 г,"Нарастить массу, Восстановление",Гейнеры,Бельгия,1300,26.0,24.0,1790,Сывороточный концентрат,порошок,с витаминами,мужчин и женщин,7.0,1470.0,5425002400231,"Мальтодекстрин, декстроза, концентрат сывороточного протеина (молоко), вкусовая добавка, загуститель Е412, фруктоза, подсластитель Е951, краситель, витамины: В3, В5, В6, В2, В12.",,,,,
