name,Цель,Тип,Страна производитель,Количество в упаковке,Количество порций,"Срок годности, мес.",price,Вид белка,Форма выпуска,Диетические особенности,Подходит для,Белок: грамм в 1 порции,"Вес нетто, г",Штрихкод,Ингредиенты,Витамины,Форма креатина,Минералы,Материал,Вид омега-3
Протеин QNT Delicious Whey Protein 2200 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Бельгия,2200,73.0,730.0,5780,Многокомпонентный,порошок,"без ГМО, без аспартама, без глютена, без пальмового масла, без сои",мужчин и женщин,22.0,2490.0,5425002405861,"Концентрат белка молочной сыворотки,изолят белка молочной сыворотки,гидролизат белка молочной сыворотки,загуститель гуаровая камедь Е412,ксантовая камедь Е415, ароматизатор, краситель Е162,подсластитель сукралоза Е955",,,,пластик,
"Коктейль белковый FitActive Protein Cocktail, 300 г","Нарастить массу, Сбросить вес, Восстановление",Протеины,Россия,300,10.0,24.0,890,Сывороточный концентрат,порошок,с сахарозаменителем,мужчин и женщин,11.0,330.0,4680002313689,"концентрат сывороточного белка, сыворотка молочная деминерализованная, эритрит (Е968), яичный белок, инулин, пектин (Е440), какао-порошок, экстракт гуараны (20% кофеина), L-карнитин тартрат, витаминный премикс, ароматизатор &amp;quot;Шоколад&amp;quot;, &amp;quot;Пломбир&amp;quot;, стевиозид (Е960), сукралоза (Е955).",,,,,
Протеин ALLNUTRITION Whey Delicious 700 г,"Нарастить массу, Сбросить вес, Улучшить выносливость, Восстановление",Протеины,Польша,700,23.0,24.0,1940,Многокомпонентный,порошок,без сахара,мужчин и женщин,20.0,700.0,5902837733456,"Для вкуса ""Земляничное мороженое"": 	белковая смесь [концентрат сывороточного белка (WPC) (из молока), концентрированный порошок пахты (из молока), изолят сывороточного белка (WPI) (из молока)], ароматизаторы, загуститель (карбоксиметилцеллюлоза), краситель (концентрат порошкообразного свекольного сока), противослеживающее вещество (диоксид кремния), подсластитель (сукралоза).",,,,,
Протеин Optimum Nutrition 100% Whey Gold Standard Natural 907 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,США,907,28.0,24.0,2780,Многокомпонентный,порошок,"без ГМО, без аспартама, без консервантов, без красителей, без крахмала, без пальмового масла, без сои, без холестерина",мужчин и женщин,24.0,1075.0,748927027235,"Протеиновая смесь (изолят сывороточного протеина, концентрат сывороточного протеина, сывороточные пептиды), сгущенный порошок сока тростника, натуральные ароматизаторы, лактаза; для вкуса шоколад и ваниль - ребаудиозид, лецитин, лимонная кислота;для вкуса клубника – какао, ксантановая камедь",,,,пластик,
Протеин Optimum Nutrition 100% Whey Gold Standard 454 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,США,454,14.0,24.0,2021,Многокомпонентный,порошок,"без ГМО, без консервантов",мужчин и женщин,24.0,575.0,748927022414,"Протеиновая смесь (изолят сывороточного протеина, концентрат сывороточного протеина, сывороточные пептиды), натуральные и искусственные ароматизаторы, лецитин,соль,сукралоза,ацесульфам калия,лактаза,для вкуса шоколад-ментол-какао, для вкуса молочный шоколад-заменитель сливок (подсолнечное масло,мальтодекстрин,модифицированный пищевой крахмал,дикалийфосфат, трикалиумфосфат,токоферол),соль, для вкуса клубника-краситель FD&C красный #40",,,,,
Углеводы Trec Nutrition Vitargo Electro-Energy 2100 г,"Нарастить массу, Восстановление",Углеводы,Польша,2100,30.0,24.0,4017,,порошок,"без консервантов, без сахара",мужчин и женщин,,2330.0,5901828345685,"Амилолектин крахмала из ячменя - Vitargo, лимонная кислота, яблочная кислота - регуляторы кислотности, минеральный комплекс (цитрат натрия, фосфат кальция, карбонат магния, хлористый натрий, карбонат калия) ароматизаторы,подсластитель-сукралоза,бета-каротин - краситель.",,,"калий, магний",,
Протеин Dymatize Elite Whey Protein 2300 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,США,2300,67.0,730.0,5340,Многокомпонентный,порошок,"без ГМО, без аспартама, без глютена, без консервантов, без мальтодекстрина, без пальмового масла",мужчин и женщин,25.0,2600.0,705016560172,"Концентрат сывороточного протеина, изолят сывороточного протеина, гидролизат сывороточного протеина, сывороточные пептиды, натуральные и искусственные ароматизаторы, соевый лецитин,свекольный порошок,смесь камеди (целлюлозная камедь, ксантовая камедь,каррагенин), соль,лимонная кислота, ацесульфам калия, сукралоза, экстракт листьев стевии",,,,,
Протеин Optimum Nutrition 100% Whey Gold Standard 4540 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,США,4540,141.0,24.0,10991,Многокомпонентный,порошок,"без аспартама, без пальмового масла, без сои",мужчин и женщин,24.0,4710.0,748927028744,"Протеиновая смесь (изолят сывороточного протеина, концентрат сывороточного протеина, сывороточные пептиды), натуральные и искусственные ароматизаторы, лецитин, соль, сукралоза, ацесульфам калия, лактаза, для вкуса шоколад-ментол - какао, для вкуса молочный шоколад - заменитель сливок (подсолнечное масло, мальтодекстрин, модифицированный пищевой крахмал, дикалийфосфат, трикальцийфосфат, токоферол),соль, для вкуса клубника - краситель FD&C красный #40",,,,пластик,
Pure American,Нарастить массу,Протеины,Польша,750,23.0,,1000,,,,,,750.0,5907776170225,,,,,,
25 Whey Protein,Восстановление,Протеины,США,908,27.0,,1490,,,,,,1085.0,747906213669,,,,,,
